delay_year,tree_spec,dwl_phi_mean,dwl_phi_std,dwl_phi_count,dwl_pct_mean,dwl_pct_std,dwl_pct_count,dwl_billions_mean,dwl_billions_std,dwl_billions_count,dwl_phi_loss_mean,dwl_phi_loss_std,dwl_phi_loss_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,dwl_billions_loss_mean,dwl_billions_loss_std,dwl_billions_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count,tree_label,tree_short_label,robustness_family,tech_chg,tech_scale,dam_func,tip_on,d_unc,t_unc,ra,eis,pref
10,,0.2191074390992084,,1,21.910743909920843,,1,13117.317519083766,,1,0.2191074390992084,,1,21.910743909920843,,1,13117.317519083766,,1,352.3497646935845,,1,210.11378464431263,,1,0.0,,1,0.8850814378731507,,1,0.0,,1,0.8850814378731507,,1,0.0887904922176474,,1,0.0887904922176474,,1,0.3825287818908691,,1,17.452963600462567,,1,10.32060320240356,,1,0.9870446186653448,,1,0.668514699382288,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,1.5,0.0,,,,,,,
10,,0.2563029827726256,,1,25.63029827726256,,1,15344.105247811884,,1,0.2563029827726256,,1,25.63029827726256,,1,15344.105247811884,,1,399.05263974561854,,1,227.15670040619108,,1,0.0,,1,0.9141628492748948,,1,0.0,,1,0.9141628492748948,,1,0.1022413019963366,,1,0.1022413019963366,,1,0.3950977325439453,,1,17.65889990212304,,1,10.271071653988574,,1,0.9825096039481008,,1,0.722460515694492,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,1.5,1.5,,,,,,,
10,,0.2842087547171065,,1,28.420875471710655,,1,17014.741684054265,,1,0.2842087547171065,,1,28.420875471710655,,1,17014.741684054265,,1,435.7081356587493,,1,235.94579381496797,,1,0.0,,1,0.9284144217942736,,1,0.0,,1,0.9284144217942736,,1,0.1120383818488619,,1,0.1120383818488619,,1,0.4012570381164551,,1,28.415853228519296,,1,16.973809625219673,,1,1.5801531882863928,,1,0.7598832367480141,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,1.5,3.0,,,,,,,
10,,0.1935168801261809,,1,19.351688012618094,,1,11585.28606948954,,1,0.1935168801261809,,1,19.351688012618094,,1,11585.28606948954,,1,330.0708962244085,,1,197.70933047004465,,1,0.0,,1,0.8344719002203257,,1,0.0,,1,0.8344719002203257,,1,0.0797302676129021,,1,0.0797302676129021,,1,0.3606555461883545,,1,14.322393648866864,,1,8.964292254880558,,1,0.8621961694557534,,1,0.7398237236612488,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,3.0,0.0,,,,,,,
10,,0.2269179439049233,,1,22.691794390492333,,1,13584.909454538332,,1,0.2269179439049233,,1,22.691794390492333,,1,13584.909454538332,,1,373.59441623536026,,1,214.59346834107137,,1,0.0,,1,0.8645070888588142,,1,0.0,,1,0.8645070888588142,,1,0.0920556714462605,,1,0.0920556714462605,,1,0.3736367225646972,,1,22.925642128496264,,1,14.606303196477544,,1,1.3726618533381751,,1,0.77045378216695,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,3.0,1.5,,,,,,,
10,,0.2445247691543511,,1,24.452476915435113,,1,14638.978263197963,,1,0.2445247691543511,,1,24.452476915435113,,1,14638.978263197963,,1,398.552734595199,,1,219.73578527176969,,1,0.0,,1,0.8732471157758529,,1,0.0,,1,0.8732471157758529,,1,0.098446505014536,,1,0.098446505014536,,1,0.3774139881134033,,1,22.76040204407562,,1,14.605817044890518,,1,1.3726188517116045,,1,0.779640853098375,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,3.0,3.0,,,,,,,
15,,0.3899740683577778,,1,38.99740683577778,,1,23346.599731566712,,1,0.3899740683577778,,1,38.99740683577778,,1,23346.599731566712,,1,600.9915022864977,,1,215.96901579005385,,1,0.0,,1,0.9235650579260164,,1,0.0,,1,0.9235650579260164,,1,0.1448488085711048,,1,0.1448488085711048,,1,0.602616548538208,,1,20.10414879898281,,1,11.055742538459077,,1,0.7015297671802756,,1,0.550962610637266,,1,481.5023082111194,,1,1.758894510269165,,1,,,technology,0.0,0.0,,,,,,,
15,,0.4871389040872971,,1,48.71389040872972,,1,29163.572478788818,,1,0.4871389040872971,,1,48.71389040872972,,1,29163.572478788818,,1,730.7268986241922,,1,230.94780393967423,,1,0.0,,1,0.9488505551472176,,1,0.0,,1,0.9488505551472176,,1,0.1739953687912958,,1,0.1739953687912958,,1,0.619114875793457,,1,30.604373309006405,,1,17.072622369924197,,1,1.0563689938084986,,1,0.5823389874043186,,1,481.5023082111194,,1,1.758894510269165,,1,,,technology,0.0,1.5,,,,,,,
15,,0.5481447393866773,,1,54.81447393866773,,1,32815.81229058527,,1,0.5481447393866773,,1,54.81447393866773,,1,32815.81229058527,,1,821.9167556000432,,1,231.17419809487907,,1,0.0,,1,0.9492213809934062,,1,0.0,,1,0.9492213809934062,,1,0.1914542817200768,,1,0.1914542817200768,,1,0.6193568706512451,,1,53.82647811085931,,1,32.56328344576811,,1,1.897035722667928,,1,0.6414860519860344,,1,481.5023082111194,,1,1.758894510269165,,1,,,technology,0.0,3.0,,,,,,,
15,,0.3288731666238991,,1,32.88731666238991,,1,19688.66857212887,,1,0.3288731666238991,,1,32.88731666238991,,1,19688.66857212887,,1,544.6869934722264,,1,195.99168619321145,,1,0.0,,1,0.8593726555766682,,1,0.0,,1,0.8593726555766682,,1,0.1262333175011889,,1,0.1262333175011889,,1,0.5607316493988037,,1,12.834517258326088,,1,7.620924091530669,,1,0.4908333573777845,,1,0.6169616556383223,,1,481.5023082111194,,1,1.758894510269165,,1,,,technology,1.5,0.0,,,,,,,
