sample_index,RA,EIS,PRTP,growth,terminal_rho,terminal_beta_5yr,terminal_growth_5yr,terminal_multiplier,terminal_margin,terminal_admissible
6885,4.550104692350149,1.048170864089302,0.00812852079509771,0.013970876858800003,0.045957072209934946,0.9600127755749185,1.0718336984269021,0.9630782611618947,0.036921738838105345,True
6886,8.016249547715953,1.044698756856102,0.006837824269276661,0.01681505421459805,0.04278626404286878,0.9662752508943613,1.0869506765276136,0.9697284558541052,0.030271544145894835,True
6887,6.881020313097332,1.4021648098798636,0.005260288795520086,0.019710251943281167,0.2868170753153624,0.9739738106733342,1.1025135307983933,1.0016216737851844,-0.0016216737851844076,False
6888,8.696465076944158,0.804106993240226,0.01623208093232061,0.01406694508083644,-0.24361559892720774,0.9214319774750984,1.0723415466968091,0.9058862248738161,0.09411377512618391,True
6889,6.143501070915688,0.8891089173297566,0.008258031258571438,0.014268345273969049,-0.12472159541856853,0.9593861861532135,1.073406839272741,0.9509473687922898,0.049052631207710196,True
6890,12.5140723183748,1.1973316898784434,0.009314673755693968,0.010158022961649069,0.16480954404412118,0.95428621855828,1.0518325040571819,0.9622671477175389,0.03773285228246115,True
6891,8.7448475323259,1.0969790247017535,0.007371014968196707,0.01624238918878917,0.08840554150807045,0.9636842537039718,1.0838932970248962,0.9705720173717799,0.029427982628220106,True
6892,10.464893133347712,0.8036604693001129,0.004020541498659847,0.012846833200776855,-0.24430656751211632,0.9800582914409307,1.0659059163373834,0.9648948858571978,0.03510511414280215,True
6893,6.667586255236803,1.4239349684319256,0.006397107075234112,0.018111056304897157,0.29772073713364444,0.9684210848891067,1.0938953311729156,0.9946450625493745,0.005354937450625541,True
6894,9.76214241673311,0.8112621276106526,0.017342187892120754,0.01778869249669271,-0.23264721224596352,0.9162448691499893,1.092164630844008,0.8976435901992491,0.10235640980075089,True
6895,3.23029045993533,1.2632184728718272,0.0028772260463696894,0.01664543712652231,0.20837129801737375,0.9856964162186995,1.0860443961310167,1.002796441423406,-0.002796441423406071,False
6896,7.481331383829249,0.5878743895795304,0.018035222689299808,0.022460331050258592,-0.7010436544365151,0.9130184431854269,1.1174609029475149,0.8446301432553658,0.15536985674463422,True
