delay_year,ra,eis,pref,delay_window_years_mean,delay_window_years_std,delay_window_years_count,delay_window_dwl_fraction_mean,delay_window_dwl_fraction_std,delay_window_dwl_fraction_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count
15,3.0,0.9,0.005,15.0,,1,0.0531081934822447,,1,5.3108193482244745,,1,522.8501525426452,,1,198.77945961084532,,1,0.0,,1,0.6186644008243304,,1,0.0,,1,0.6186644008243304,,1,0.0355829002356022,,1,0.0355829002356022,,1,0.4229342519803891,,1,30.288832508697283,,1,15.05921708738265,,1,0.9395647286672526,,1,0.5579713572524625,,1,481.5023071324044,,1,1.7588945192,,1
15,3.0,0.9,0.024,15.0,,1,0.0022600313536349,,1,0.2260031353634961,,1,65.96350009764555,,1,32.54509817967131,,1,0.0,,1,0.1804969282033137,,1,0.0,,1,0.1804969282033137,,1,0.0012511961661578,,1,0.0012511961661578,,1,0.1354820851912386,,1,1.9079756805950152,,1,4.184752207731466,,1,0.2736778201612333,,1,0.2340885280419417,,1,481.5023071324044,,1,1.7588945192,,1
15,7.0,0.55,0.001,15.0,,1,0.0197745113758817,,1,1.9774511375881751,,1,261.8714131042987,,1,108.90703393679912,,1,0.0,,1,0.4356770047923149,,1,0.0,,1,0.4356770047923149,,1,0.056563746169278,,1,0.056563746169278,,1,0.3049951545678091,,1,13.15683971310284,,1,10.55952935653805,,1,0.6714704358066648,,1,0.4547012142738555,,1,481.5023071324044,,1,1.7588945192,,1
15,7.0,0.55,0.005,15.0,,1,0.0081993678922306,,1,0.8199367892230622,,1,146.5954948684983,,1,65.8649463292269,,1,0.0,,1,0.3104012307449401,,1,0.0,,1,0.3104012307449401,,1,0.0073718944013965,,1,0.0073718944013965,,1,0.2220861710547668,,1,6.537599645495973,,1,8.129724923855523,,1,0.5224364783038338,,1,0.344322263342345,,1,481.5023071324044,,1,1.7588945192,,1
15,7.0,0.55,0.024,15.0,,1,0.0008674701209114,,1,0.0867470120911483,,1,38.0474293613223,,1,19.063936494384738,,1,0.0,,1,0.1145234427997473,,1,0.0,,1,0.1145234427997473,,1,0.0005702937006919,,1,0.0005702937006919,,1,0.089173507225718,,1,1.0075073679098985,,1,3.400452615506655,,1,0.2231763578736556,,1,0.176761307206086,,1,481.5023071324044,,1,1.7588945192,,1
15,7.0,0.9,0.005,15.0,,1,0.056103203835267,,1,5.610320383526702,,1,546.362875996073,,1,204.07622088614696,,1,0.0,,1,0.6273845568117368,,1,0.0,,1,0.6273845568117368,,1,0.0375168687745848,,1,0.0375168687745848,,1,0.4279596579092608,,1,31.483745033815836,,1,15.46223067486997,,1,0.9630967685288594,,1,0.5616422536847905,,1,481.5023071324044,,1,1.7588945192,,1
15,7.0,0.9,0.024,15.0,,1,0.0023628083788522,,1,0.2362808378852288,,1,67.65221641672633,,1,33.32183487632399,,1,0.0,,1,0.1840103472927164,,1,0.0,,1,0.1840103472927164,,1,0.0013077563524288,,1,0.0013077563524288,,1,0.1373589636341381,,1,1.939167571918752,,1,4.217582412795988,,1,0.2757840281760515,,1,0.2351721566974759,,1,481.5023071324044,,1,1.7588945192,,1
15,15.0,0.55,0.001,15.0,,1,0.0224311533870523,,1,2.2431153387052345,,1,287.0655474347965,,1,115.76837951547404,,1,0.0,,1,0.4526984024871982,,1,0.0,,1,0.4526984024871982,,1,0.0639030618080163,,1,0.0639030618080163,,1,0.3145912678142197,,1,15.347479406337072,,1,12.014647711931191,,1,0.7592643032308333,,1,0.462631405690055,,1,481.5023071324044,,1,1.7588945192,,1
15,15.0,0.55,0.005,15.0,,1,0.0092480531808366,,1,0.9248053180836676,,1,158.07505042108195,,1,70.30791567990993,,1,0.0,,1,0.3251298529597757,,1,0.0,,1,0.3251298529597757,,1,0.0082947976094569,,1,0.0082947976094569,,1,0.2302101827480207,,1,7.258351225854071,,1,8.794560593659243,,1,0.5635228677726367,,1,0.3500677121245849,,1,481.5023071324044,,1,1.7588945192,,1
15,15.0,0.55,0.024,15.0,,1,0.0009259538816512,,1,0.0925953881651267,,1,39.458600012326954,,1,19.70058202236916,,1,0.0,,1,0.1178741296636995,,1,0.0,,1,0.1178741296636995,,1,0.0006084667494741,,1,0.0006084667494741,,1,0.0910087256795386,,1,1.0714655673268147,,1,3.5742008531865945,,1,0.2343948516323912,,1,0.1782088829133125,,1,481.5023071324044,,1,1.7588945192,,1
15,15.0,0.9,0.005,15.0,,1,0.0623771364554172,,1,6.237713645541727,,1,596.2632177162034,,1,214.06085893577327,,1,0.0,,1,0.6433628830572454,,1,0.0,,1,0.6433628830572454,,1,0.0415455266848514,,1,0.0415455266848514,,1,0.4373646427475477,,1,36.6937178307476,,1,17.60453674222624,,1,1.0869139635269365,,1,0.5719568922908572,,1,481.5023071324044,,1,1.7588945192,,1
15,15.0,0.9,0.024,15.0,,1,0.002589535978671,,1,0.2589535978671026,,1,71.46659070983306,,1,34.872196378090564,,1,0.0,,1,0.1909395954302993,,1,0.0,,1,0.1909395954302993,,1,0.0014324608662736,,1,0.0014324608662736,,1,0.1409964959688503,,1,1.9879357185805944,,1,4.254400070457043,,1,0.2781453130200395,,1,0.2373915507857127,,1,481.5023071324044,,1,1.7588945192,,1
